ID;userName;email;fullName;role_code;isActive;lastLoginAt;traveller_ID;createdBy;createdAt;modifiedAt
e4f5a6b7-c8d9-4401-9401-fa1234600001;sysadmin1;admin1@travelapp.com;Meera Iyer;ADMIN;true;2026-09-15T08:30:00Z;;system@travelapp.com;2025-05-01T09:00:00Z;2026-09-15T08:30:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600002;sysadmin2;admin2@travelapp.com;David Park;ADMIN;true;2026-09-14T17:45:00Z;;system@travelapp.com;2025-05-01T09:05:00Z;2026-09-14T17:45:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600003;agent.patel;agent.patel@travelapp.com;Rohan Patel;AGENT;true;2026-09-16T07:20:00Z;;system@travelapp.com;2025-06-10T10:00:00Z;2026-09-16T07:20:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600004;agent.wilson;agent.wilson@travelapp.com;Sarah Wilson;AGENT;true;2026-09-13T12:10:00Z;;system@travelapp.com;2025-06-15T11:30:00Z;2026-09-13T12:10:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600005;agent.jones;agent.jones@travelapp.com;Michael Jones;AGENT;false;2026-08-02T09:00:00Z;;system@travelapp.com;2025-07-01T08:00:00Z;2026-08-05T10:15:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600006;rajesh.kumar;rajesh.kumar@gmail.com;Rajesh Kumar;TRAVELLER;true;2026-09-15T20:10:00Z;a1b2c3d4-e5f6-4001-8001-ef1234560001;agent.patel@travelapp.com;2025-11-02T09:20:00Z;2026-09-15T20:10:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600007;priya.sharma;priya.sharma@yahoo.com;Priya Sharma;TRAVELLER;true;2026-09-14T19:05:00Z;a1b2c3d4-e5f6-4002-8002-ef1234560002;agent.patel@travelapp.com;2025-12-14T11:10:00Z;2026-09-14T19:05:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600008;john.smith;john.smith@outlook.com;John Smith;TRAVELLER;true;2026-09-12T15:40:00Z;a1b2c3d4-e5f6-4003-8003-ef1234560003;agent.wilson@travelapp.com;2025-09-20T08:50:00Z;2026-09-12T15:40:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600009;emily.johnson;emily.johnson@gmail.com;Emily Johnson;TRAVELLER;false;2026-04-01T09:15:00Z;a1b2c3d4-e5f6-4004-8004-ef1234560004;agent.wilson@travelapp.com;2025-10-05T13:35:00Z;2026-04-01T09:15:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600010;hans.mueller;hans.mueller@web.de;Hans Mueller;TRAVELLER;true;2026-09-16T06:50:00Z;a1b2c3d4-e5f6-4005-8005-ef1234560005;agent.jones@travelapp.com;2025-08-11T08:00:00Z;2026-09-16T06:50:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600011;sofia.rossi;sofia.rossi@libero.it;Sofia Rossi;TRAVELLER;true;2026-09-11T21:30:00Z;a1b2c3d4-e5f6-4006-8006-ef1234560006;agent.jones@travelapp.com;2026-01-09T10:25:00Z;2026-09-11T21:30:00Z
e4f5a6b7-c8d9-4401-9401-fa1234600012;yuki.tanaka;yuki.tanaka@gmail.com;Yuki Tanaka;TRAVELLER;true;2026-09-16T05:15:00Z;a1b2c3d4-e5f6-4007-8007-ef1234560007;agent.patel@travelapp.com;2026-02-17T06:45:00Z;2026-09-16T05:15:00Z
